"GEOID","NAME","state_id","id","population","age_median","hholds","inc_med","unem_rate","t_status","house_unit","hous_occ","hous_vac","owner_occ","males","females","inc_mean","inc_lt10k","inc_10_15k","inc_15_25k","inc_25_35k","inc_35_50","inc_50_75","inc_75_100","inc_100_15","inc_150_20","inc_200k","pop_15_up","marr_pc","state"
"01001","Autauga","1","0500000US01001","55380","382","21397","58731","37","Available","23493","21397","2096","15682","26934","28446","75326","1412","1177","2225","1690","2717","3809","2931","3595","1155","685","44749","54","Alabama"
"01003","Baldwin","1","0500000US01003","212830","43","80930","58320","43","Available","114164","80930","33234","60896","103496","109334","80986","1070","984","1883","2225","2974","3937","2739","3081","1284","1220","174821","52","Alabama"
"01005","Barbour","1","0500000US01005","25361","404","9345","32525","92","Available","12013","9345","2668","5691","13421","11940","47068","3188","1819","3766","2503","3038","2846","1755","1712","428","342","20968","41","Alabama"
"01007","Bibb","1","0500000US01007","22493","409","6891","47542","73","Available","9185","6891","2294","5128","12150","10343","60182","1776","1712","2782","1904","3167","3424","3466","2225","449","471","18827","40","Alabama"
"01009","Blount","1","0500000US01009","57681","407","20847","49358","34","Available","24323","20847","3476","16423","28495","29186","65639","1755","1177","2247","2675","2996","4151","2568","2354","941","535","46625","57","Alabama"
"01011","Bullock","1","0500000US01011","10248","402","3521","37785","39","Available","4557","3521","1036","2504","5571","4677","48571","3317","2076","2268","2824","2418","4237","1498","2204","171","385","8514","36","Alabama"
"01013","Butler","1","0500000US01013","19828","408","6506","40688","68","Available","10089","6506","3583","4551","9081","10747","55971","2033","1733","2846","2503","3616","3145","2696","2054","278","471","16184","42","Alabama"
"01015","Calhoun","1","0500000US01015","114618","396","44605","47255","81","Available","53631","44605","9026","31254","55141","59477","63417","1712","1412","2610","2461","2910","4023","2482","2525","770","471","94242","48","Alabama"
"01017","Chambers","1","0500000US01017","33660","42","13448","42289","39","Available","16988","13448","3540","9072","16089","17571","53505","1605","1412","3402","2824","2782","3894","2974","1883","385","235","27796","44","Alabama"
"01019","Cherokee","1","0500000US01019","25903","465","10737","41919","44","Available","16579","10737","5842","8304","12777","13126","57617","1476","1455","3595","2225","3081","4130","2482","1797","642","514","21773","58","Alabama"
"01021","Chilton","1","0500000US01021","44055","387","16927","47468","64","Available","19781","16927","2854","12610","21459","22596","62784","1797","1455","2696","2589","2525","4237","2717","2204","642","535","35414","51","Alabama"
"01023","Choctaw","1","0500000US01023","12925","463","5300","35892","79","Available","7359","5300","2059","4288","6145","6780","52395","2396","2011","3210","2824","2974","2482","2182","2204","899","193","10819","47","Alabama"
